zoom_pct,cx,cy,dx,dy,category,dist_core_km
100,-6500.0,-36500.0,-96.11199002600551,246.02835742772004,Retail,0.0
100,-6500.0,-36500.0,-145.47556433588215,228.72078198780946,Business and Professional Services,0.0
100,-6500.0,-36500.0,24.773025741177662,-383.25169729223853,Arts and Entertainment,0.0
100,-6500.0,-36500.0,-143.77175573235309,234.27936502609373,Retail,0.0
100,-6500.0,-36500.0,-222.25185738506116,360.7926157105612,Travel and Transportation,0.0
100,-6500.0,-36500.0,-376.9509564141754,126.15965212394804,Arts and Entertainment,0.0
100,-6500.0,-36500.0,-393.04425478982193,120.61376676848886,Landmarks and Outdoors,0.0
100,-6500.0,-36500.0,-351.46458086521034,114.77839723930083,Retail,0.0
100,-6500.0,-36500.0,388.93921180842335,-74.53285255601077,Dining and Drinking,0.0
100,-6500.0,-36500.0,-255.59751469256025,-353.8177295338028,Dining and Drinking,0.0
100,-6500.0,-36500.0,343.69608742781384,-71.7476905256699,Community and Government,0.0
100,-6500.0,-36500.0,224.4059070066196,-94.49877494978864,Retail,0.0
100,-6500.0,-36500.0,128.04933667294154,-277.4406560211646,Community and Government,0.0
100,-6500.0,-36500.0,26.390462890634808,-323.18986440397566,Dining and Drinking,0.0
100,-6500.0,-36500.0,123.94800345299245,98.47030092801288,Retail,0.0
100,-6500.0,-36500.0,384.27181919915165,141.79994659461227,Retail,0.0
100,-6500.0,-36500.0,-179.56162214730284,104.97819521169731,Landmarks and Outdoors,0.0
100,-6500.0,-36500.0,239.0539139563425,117.24395326654485,Travel and Transportation,0.0
100,-6500.0,-36500.0,241.4479368188904,-276.3124278365576,Retail,0.0
100,-6500.0,-36500.0,109.02500872205837,281.23189058720163,Retail,0.0
100,-6500.0,-36500.0,84.74042274724525,-397.55837077711476,Retail,0.0
100,-6500.0,-36500.0,-338.11841387876484,-212.0649315686387,Travel and Transportation,0.0
100,-6500.0,-36500.0,-245.85727565141678,-225.91484154043428,Nightlife Spot,0.0
100,-6500.0,-36500.0,168.96124612088352,-111.87500742640987,Retail,0.0
100,-6500.0,-36500.0,-86.97470472154782,-248.76683181705448,Dining and Drinking,0.0
100,-6500.0,-36500.0,-169.51616671414376,-98.57359571287088,Nightlife Spot,0.0
100,-6500.0,-36500.0,-224.49449189447114,-336.4820621145045,Nightlife Spot,0.0
100,-6500.0,-36500.0,335.1882871898133,90.10234006119572,Retail,0.0
100,-6500.0,-36500.0,33.75117938556559,-143.4475151525694,Dining and Drinking,0.0
100,-6500.0,-36500.0,223.6917627197754,369.140068207882,Retail,0.0
100,-6500.0,-36500.0,-106.04839227888533,352.9412807178742,Dining and Drinking,0.0
100,-6500.0,-36500.0,-265.0836533724114,244.0069529182074,Arts and Entertainment,0.0
100,-6500.0,-36500.0,-27.487172094669404,301.85611313085246,Dining and Drinking,0.0
100,-6500.0,-36500.0,-105.05927716746555,346.2486813020223,Arts and Entertainment,0.0
100,-6500.0,-36500.0,-25.014711500524754,-395.0610474317291,Retail,0.0
100,-6500.0,-36500.0,148.5167242029429,208.64839014992322,Travel and Transportation,0.0
100,-6500.0,-36500.0,30.9262679933845,-269.6346701711809,Retail,0.0
100,-6500.0,-36500.0,249.85990387824495,291.28452306189865,Dining and Drinking,0.0
100,-6500.0,-36500.0,383.2370742150488,49.45732076747663,Retail,0.0
100,-6500.0,-36500.0,105.69496994401925,-9.895211205890519,Dining and Drinking,0.0
100,-6500.0,-36500.0,-22.186596099460075,-180.87541373092245,Dining and Drinking,0.0
100,-6500.0,-36500.0,-63.46027455656804,-225.1907635038151,Arts and Entertainment,0.0
