lon,lat,category
139.6195900440216,35.705101088587135,Retail
139.80031728744507,35.71558112039315,Dining and Drinking
139.480098,35.716397,Retail
139.77663259388527,35.72559198908874,Retail
139.73400056098646,35.65627037845421,Community and Government
139.61955211635205,35.70505306340256,Retail
139.61778223514557,35.706277220646506,Retail
139.48025465011597,35.70025262768564,Travel and Transportation
139.73357319831848,35.755759221282624,Landmarks and Outdoors
139.699447453022,35.69312097740709,Dining and Drinking
139.784336774707,35.54896343042385,Travel and Transportation
139.75844710043975,35.57653982516341,Travel and Transportation
139.58236259490016,35.75086135904025,Retail
139.77382179017627,35.70918971043617,Dining and Drinking
139.5865398645401,35.74953810235406,Travel and Transportation
139.72480237483978,35.61388936803698,Retail
139.71109628677368,35.729025427145416,Travel and Transportation
139.64681446552277,35.55319972801149,Travel and Transportation
139.7109555727517,35.729864636451765,Travel and Transportation
139.8269248008728,35.64592362299403,Travel and Transportation
139.71116065979004,35.730227334361864,Travel and Transportation
139.82522696256638,35.669933262254226,Landmarks and Outdoors
139.5684188604355,35.683897243926694,Travel and Transportation
139.76608157157898,35.68137872227962,Travel and Transportation
139.76102828979492,35.73792607790286,Travel and Transportation
139.7340694,35.57877735,Retail
139.74690914154053,35.74660804374419,Travel and Transportation
139.72373016178608,35.56068371332292,Travel and Transportation
139.51630353927612,35.60910078604585,Travel and Transportation
139.7195988893509,35.74880450939185,Travel and Transportation
139.74437713623047,35.74576340058102,Landmarks and Outdoors
139.79876697063446,35.68220661878952,Travel and Transportation
139.82475757598877,35.64405781736745,Retail
139.6824658419298,35.677192287983026,Community and Government
139.6824074,35.67685564,Retail
139.51989769935608,35.77209985763748,Travel and Transportation
139.75673139095306,35.65551788382668,Travel and Transportation
139.69936966896057,35.67620199564515,Community and Government
139.5024687051773,35.644613640188936,Travel and Transportation
139.6390575170517,35.61667167289628,Landmarks and Outdoors
139.70027922656513,35.69080269423021,Travel and Transportation
139.59873855113983,35.64004270002671,Travel and Transportation
139.74745631217957,35.75110975353587,Travel and Transportation
139.72768306732178,35.762915736201656,Travel and Transportation
139.5673218369484,35.6828885376207,Travel and Transportation
139.66046154499054,35.57741391248918,Dining and Drinking
139.6474917,35.55243051,Retail
139.64730400276795,35.552718483413095,Community and Government
139.63367700576782,35.55002895657234,Travel and Transportation
139.6688391408238,35.60753807817138,Travel and Transportation
139.87022872003527,35.75349396276371,Community and Government
139.56992357969284,35.620576766688515,Landmarks and Outdoors
139.7380268850527,35.628118180509254,Travel and Transportation
139.86690044403076,35.75086595372428,Travel and Transportation
139.62661743164062,35.6114994740578,Travel and Transportation
139.74682331085205,35.73651527788601,Travel and Transportation
139.71432190950176,35.62721384179361,Dining and Drinking
139.70370411872864,35.71295470815622,Travel and Transportation
139.71137791872025,35.730273058734824,Travel and Transportation
139.87698554992676,35.75502786233862,Retail
139.7013260344949,35.658521726951236,Travel and Transportation
139.78840827941897,35.55137976854632,Travel and Transportation
139.71502285555553,35.563375,Dining and Drinking
139.81903910636902,35.64762809425529,Sports and Recreation
139.71069127321243,35.68859747284611,Travel and Transportation
139.8756229877472,35.756910662664126,Landmarks and Outdoors
139.87531185150146,35.75649928003826,Travel and Transportation
