dx,dy,category
28.996567491212772,45.561779040417605,Retail
2.908141457985039,42.2319860322641,Arts and Entertainment
46.962544729514775,-31.552580936986487,Business and Professional Services
-28.36920250773619,12.8481946902466,Dining and Drinking
39.23835920583224,40.91702044735575,Dining and Drinking
49.822673441220104,27.38459940802568,Travel and Transportation
-13.736575891929533,2.061258011563041,Retail
15.002797972469125,12.245722344410751,Retail
-12.767592154308659,28.313394304215763,Dining and Drinking
-10.103004183005396,14.115674978784227,Business and Professional Services
40.63045595650328,-42.41042247266887,Dining and Drinking
26.82344769519841,15.79372868428618,Dining and Drinking
41.97440321462636,49.11972583911847,Dining and Drinking
32.91245704623361,44.150842357332294,Dining and Drinking
-34.00080349908603,1.2171963356377091,Nightlife Spot
